date,index_value
20260102,100.0
20260105,100.87540761196551
20260106,103.32345018899423
20260107,102.02641630269729
20260108,101.25922666977334
20260109,100.79575385444709
20260112,102.8371092888591
20260113,102.62865260844912
20260114,104.45387623871916
20260115,103.55273802071486
20260116,105.79219187320032
20260119,106.3636298149547
20260120,107.84032363071489
20260121,105.05025466847415
20260122,108.48871129372395
20260123,110.05540050257471
20260126,111.5242719481954
20260127,113.76891293751564
20260209,115.7306796258658
20260210,117.93451966600585
20260211,119.35845414109556
20260223,119.76783829699005
20260225,126.67187436583265
20260226,128.08049575425864
20260302,126.58098945409053
20260305,122.0685430233722
20260309,114.2961972034922
20260310,119.86927319026617
20260312,128.20158317633516
20260316,129.81674774471986
20260317,132.8546092804096
20260318,137.09848398028856
20260319,138.72268666274317
20260324,130.81002422695013
