基金統編,nav_now,nav_1y,nav_3y,nav_5y,R1y,R3y,R5y,score,基金名稱
18480065,833.51,220.54,141.21,110.29,277.9405096581119,490.2627292684653,655.7439477740502,417.1978631644056,安聯台灣科技基金
42532205,111.49,31.15,18.58,14.35,257.9133226324238,500.05382131324,676.9337979094076,414.35956729206544,路博邁台灣5G股票基金T累積級別(新臺幣)
00988316,461.43,131.78,91.95,73.0,250.15176809834574,401.82707993474713,532.0958904109589,352.04318611178877,野村台灣運籌基金
14694495,216.16,56.75,42.93,39.24,280.8986784140969,403.5173538318192,450.8664627930683,351.6778379152079,街口台灣基金
00968493,278.19,80.65,56.46,43.4,244.93490390576565,392.7205100956429,540.9907834101382,348.4817616636034,野村鴻運基金
80892778,214.72,56.26,44.55,42.04,281.65659438322075,381.97530864197535,410.7516650808754,337.57122280037805,街口中小型基金
17146752,413.81,122.38,89.79,72.11,238.13531622814187,360.8642387793741,473.85938150048537,322.09880604798025,野村成長基金
92012762,663.24,186.11,139.12,132.53,256.36988877545537,376.73950546290973,400.44518222289287,321.2958324711792,統一龍馬基金
48997911,439.68,130.55,92.59,82.83,236.79050172347758,374.8676962954963,430.8221658819269,317.01999292677306,安聯台灣智慧基金
17604124,333.2,97.25,67.75,69.54,242.62210796915164,391.8081180811808,379.14869140063263,314.6832276890566,安聯台灣大壩基金-A類型-新臺幣
13984165,258.42,77.23,54.66,49.0,234.61090249902887,372.77716794731066,427.38775510204084,314.6161526541158,富達台灣成長基金A股累積型新臺幣計價級別
25612029,195.76,58.69,40.77,38.37,233.54915658544897,380.15697817022317,410.190252801668,312.85972230412506,凱基台灣精五門基金
97977878,230.93,62.87,50.74,50.15,267.3135040559886,355.12416239653135,360.47856430707884,312.2897136083695,統一中小基金
48858663,196.11,58.16,42.16,39.0,237.19050894085285,365.15654648956365,402.84615384615387,308.7114491865263,台新主流基金
48948834,184.48,55.05,39.17,37.43,235.11353315168031,370.9726831758998,392.86668447769165,307.4219084241484,施羅德台灣樂活中小基金-A類型
