基金統編,nav_now,nav_1y,nav_3y,nav_5y,R1y,R3y,R5y,score,基金名稱
19330754,230.45,153.0,76.85,70.43,50.62091503267973,199.86987638256343,227.20431634246765,130.71228369960244,野村優質基金-累積類型新臺幣計價
81588536,156.49,109.29,50.14,47.91,43.18784884252904,212.10610291184685,226.6332707159257,130.5524094380037,台新台灣中小基金
80894446,218.1,144.29,74.54,65.4,51.15392612100631,192.59458009122613,233.48623853211006,130.052584794293,台新中國通基金
01031874,63.34,41.86,20.63,20.45,51.313903487816546,207.02859912748428,209.73105134474332,129.71174175110224,國泰小龍基金-新台幣
01031699,499.96,317.95,161.3,175.35,57.24484981915396,209.95660260384375,185.12118619903052,128.6336429305362,統一全天候基金-A類型
17602821,140.58,96.64,45.22,45.66,45.4677152317881,210.88014153029638,207.88436268068335,127.57477261111964,台新2000高科技基金
73998086,246.98,161.94,77.33,89.88,52.51327652216871,219.3844562265615,174.78860703159768,127.02969653537232,復華高成長基金
19341318,142.76,90.4,45.99,52.04,57.92035398230087,210.4153076755816,174.32744043043812,126.95025737991253,第一金電子基金
81584975,153.4,111.75,46.71,51.41,37.270693512304256,228.40933418968103,198.38552810737212,126.83525263453086,富邦上選基金(A類型)
13984165,123.68,81.35,41.11,41.52,52.0344191763983,200.85137436146928,197.88053949903662,125.84872979644726,富達台灣成長基金A股累積型新臺幣計價
83864683,113.18,80.82,36.76,36.78,40.039594159861444,207.88900979325356,207.7215878194671,123.9308175818002,富邦科技基金
92010477,291.12,193.53,97.77,98.15,50.42629049759728,197.76004909481438,196.60723382577686,123.86260674239833,富邦長紅基金
92002384,229.33,162.48,75.7,74.34,41.14352535696704,202.94583883751653,208.48802797955338,123.15311992564915,富邦精準基金
26320632,44.59,26.66,15.89,16.57,67.25431357839462,180.61674008810576,169.1007845503923,121.63233572570749,合庫台灣基金－A類（累積型）台幣
17612497,105.93,73.23,36.23,34.47,44.65383039737814,192.38200386420095,207.31070496083555,121.50365735011647,國泰國泰基金-新台幣A
26273336,71.33,57.57,22.78,22.6,23.901337502171273,213.12554872695344,215.61946902654861,119.01222717448141,富邦MIT主流基金
26202396,80.88,52.22,28.0,29.84,54.88318651857524,188.85714285714283,171.04557640750667,118.30785139793181,第一金創新趨勢基金-A類型
97990696,88.33,57.49,30.91,32.13,53.644112019481646,185.76512455516016,174.91441020852784,117.53447541799443,瀚亞菁華基金
17605622,135.25,91.24,48.09,46.37,48.235423060061386,181.24350176751923,191.6756523614406,116.82589253257458,統一大滿貫基金-A類型
92012762,298.71,198.61,111.53,97.73,50.40028195961934,167.82928360082488,205.64821446843342,116.67856895374382,統一龍馬基金
92012025,225.73,149.36,76.53,86.69,51.13149437600426,194.9562263164772,160.38758795708844,116.13013267436298,摩根新興科技基金-一般型
14705562,152.15,104.41,51.34,56.25,45.72358969447372,196.3576158940397,170.4888888888889,115.86685739322655,國泰科技生化基金
13998344,173.28,114.47,61.5,63.8,51.37590635100899,181.7560975609756,171.59874608150471,114.53453166009811,永豐中小基金-A類型
92012572,156.86,105.12,55.92,56.41,49.219939117199395,180.50786838340488,178.0712639602908,114.37658286567932,瀚亞外銷基金
81595924,85.71,57.38,30.34,32.12,49.37260369466712,182.4983520105471,166.84308841843088,112.80442513418387,瀚亞中小型股基金
18043059,194.52,135.07,71.51,65.73,44.01421485155848,172.0178995944623,195.9379278868097,112.80006288147987,國泰中小成長基金-新台幣
81591434,117.18,76.28,43.48,45.18,53.61824855794441,169.5032198712052,159.36254980079684,109.53260020049314,群益長安基金
81587889,69.53,44.68,24.34,30.22,55.61772605192481,185.66146261298275,130.0794176042356,109.52318533070435,復華復華基金
83866508,172.68,114.25,60.51,72.94,51.142231947483594,185.3743182944968,136.74252810529202,108.53191708314924,PGIM保德信中小型股基金
97977878,101.51,73.24,37.17,36.15,38.59912616056802,173.0965832660748,180.80221300138314,107.38898066038308,統一中小基金
17597236,51.35,35.06,19.51,18.65,46.463205932686826,163.19835981547922,175.33512064343165,107.2581350396735,聯邦精選科技基金-A累積型(新臺幣)
92001765,65.15,40.43,25.2,27.34,61.14271580509525,158.53174603174605,138.29553767373812,105.78998924681906,元大多多基金
73989256,115.49,75.72,43.18,47.6,52.522451135763326,167.46178786475218,142.62605042016804,105.02497201134094,景順台灣科技基金
21759676,104.75,72.15,38.48,41.36,45.18364518364517,172.21933471933474,153.26402321083174,104.91042764978936,復華全方位基金A類型
81594690,98.54,63.28,36.65,43.09,55.720606826801536,168.86766712141886,128.68414945462985,104.2574334407524,永豐永豐基金-A類型
92013967,140.06,95.63,51.61,59.4,46.46031580048102,171.38151521023056,135.79124579124579,101.80286162155883,PGIM保德信金滿意基金
73988876,65.5,46.23,23.77,27.23,41.682889898334416,175.55742532604123,140.54351817847964,101.6173761826755,富邦小而美基金
18488279,243.33,163.36,92.6,101.0,48.953232125367286,162.77537796976245,140.92079207920793,101.49338786945395,復華中小精選基金
73990649,103.31,70.0,39.3,43.35,47.585714285714296,162.87531806615777,138.31603229527104,100.31865902175869,PGIM保德信科技島基金
01032058,173.13,114.09,67.36,73.61,51.748619510912434,157.02197149643706,135.19902187202825,100.02070557879298,元大多福基金
17139204,87.11,58.31,33.37,37.13,49.39118504544675,161.04285286185197,134.6081335847024,99.93007509821943,元大新主流基金
48948834,79.65,58.32,30.59,30.01,36.57407407407409,160.37920889179472,165.41152949016995,99.48310560260946,施羅德台灣樂活中小基金-A類型
13539952,107.55,70.32,47.29,39.44,52.94368600682595,127.42651723408756,172.6926977687627,99.23833772739178,凱基開創基金
73982057,93.01,70.23,34.96,35.43,32.43628079168446,166.04691075514876,162.5176404177251,98.53574170593188,宏利臺灣股息收益基金A類型
18499732,71.48,51.29,28.09,27.31,39.364398518229684,154.46778212887148,161.73562797510073,98.36965949279643,德銀遠東DWS台灣旗艦基金
81585242,57.6,41.91,24.67,19.42,37.437365783822486,133.48196189704092,196.60144181256433,98.08355982353638,新光創新科技基金
73987671,85.23,59.38,34.47,33.73,43.53317615358707,147.2584856396867,152.683071449748,96.48074805864914,匯豐台灣精典基金-台幣不配息A類型
73989501,80.41,55.6,31.6,33.65,44.622302158273364,154.46202531645565,138.9598811292719,96.44173489992777,摩根中小基金
15733973,158.74,110.44,67.66,59.28,43.73415429192322,134.61424770913393,167.7800269905533,95.80735685681245,富蘭克林華美第一富基金-A類型
25636367,69.78,48.03,27.6,29.57,45.284197376639604,152.82608695652172,135.98241460940145,95.68640769715661,摩根台灣金磚基金-累積型
81584335,63.42,41.03,26.12,28.62,54.569826955885944,142.80245022970902,121.59329140461215,94.4443068277781,元大高科技基金
00974066,228.34,155.73,95.61,94.32,46.62556989661595,138.82439075410522,142.09075487701446,93.37825314994244,元大2001基金
20094820,39.37,26.38,16.73,16.58,49.24184988627749,135.32576210400475,137.45476477683957,92.7096065297081,柏瑞巨人基金-A類型
92026219,114.47,75.45,46.09,54.6,51.71636845593108,148.36190062920372,109.65201465201466,92.29715734712958,元大卓越基金
17607591,59.81,39.82,23.97,28.4,50.200904068307395,149.52023362536505,110.59859154929579,92.07624043162238,富邦高科技基金
10341837,114.09,74.57,52.23,45.8,52.99718385409684,118.43767949454337,149.10480349344982,91.85085647410139,兆豐豐台灣基金
13986924,82.3,61.08,35.9,30.53,34.74132285527178,129.24791086350976,169.57091385522435,90.0592174577337,新光大三通基金
92019786,89.85,61.05,37.53,41.28,47.17444717444717,139.4084732214228,117.65988372093021,88.94174229783647,景順潛力基金累積型新台幣
73989002,115.75,81.99,53.37,44.35,41.17575314062692,116.88214352632565,160.99210822998873,87.8509412742089,第一金小型精選基金-A類型
01032183,330.09,228.0,136.04,155.19,44.77631578947368,142.64187003822406,112.70056060313163,87.72083102683038,PGIM保德信高成長基金
00974241,98.23,70.49,45.3,37.67,39.35309973045824,116.8432671081678,160.7645341120255,86.88243682008456,新光台灣富貴基金
73992013,98.47,65.77,41.7,49.91,49.71871674015509,136.13908872901678,97.29513123622522,85.16011123602763,永豐領航科技基金
83863951,98.15,66.08,40.64,51.49,48.53208232445523,141.51082677165357,90.61953777432512,84.84319674858871,元大經貿基金
73991751,96.69,77.42,42.58,35.97,24.89020924825627,127.07844058243305,168.8073394495413,84.33010468876631,兆豐電子基金
17144889,108.59,85.17,46.26,43.92,27.497945285898794,134.73843493298747,147.24499089253186,83.61950130135202,宏利台灣動力基金A類型
48948481,54.4,40.77,21.78,26.1,33.43144468972281,149.77043158861338,108.42911877394634,83.33267557623469,富邦首選基金
19330712,91.55,70.5,38.49,38.92,29.85815602836879,137.85398804884386,135.22610483042135,83.33049539492183,貝萊德寶利基金
20084317,22.72,15.23,8.99,13.84,49.17925147734732,152.72525027808675,64.16184971098264,83.23957076429622,富邦日盛基金
92017794,125.33,92.04,53.04,56.81,36.16905693176879,136.29336349924586,120.6125682098222,83.09505115762259,匯豐龍騰電子基金
81585475,94.22,76.45,39.48,38.14,23.24395029430999,138.65248226950357,147.0372312532774,82.62516607866155,富邦高成長基金
99973878,86.34,75.72,35.57,32.95,14.025356576862125,142.73263986505484,162.03338391502277,82.23914703095207,野村台灣高股息基金-累積類型 (本基金並無保證收益)
01031298,171.23,128.49,75.96,73.57,33.2632889719044,125.42127435492363,132.74432513252688,80.80689181893466,匯豐龍鳳基金-A類型
88090408,26.67,21.49,11.67,10.68,24.104234527687307,128.53470437017998,149.71910112359552,80.55634879961676,兆豐台灣先進通訊基金
73998071,92.35,71.95,43.65,35.57,28.353022932592076,111.56930126002291,159.6289007590666,79.57308199611623,新光店頭基金
48893417,33.12,22.29,15.51,16.33,48.58681022880216,113.53965183752415,102.8169014084507,78.91868094734846,中國信託台灣活力基金
18496290,83.92,62.53,38.38,36.61,34.20758036142652,118.65554976550285,129.2269871619776,78.54585254275963,聯邦中國龍基金-A累積型(新臺幣)
17148301,87.77,72.89,38.59,35.84,20.414322952394002,127.4423425757968,144.89397321428567,77.41865889179317,富邦台灣心基金
97972846,91.17,72.18,40.09,40.4,26.309226932668327,127.41332002993263,125.66831683168319,76.51227284165059,台中銀大發基金A(累積型-新台幣)
97997635,117.42,91.53,52.12,52.78,28.285807931825623,125.287797390637,122.47063281546038,76.22336974619598,聯博大利基金-A2類型(新台幣)
17140568,56.06,42.16,25.04,26.63,32.969639468690715,123.8817891373802,110.514457378896,75.75224795133862,景順主流基金
97984293,292.67,214.19,129.36,152.58,36.640366030160145,126.24458874458875,91.81413029230568,74.55638569691783,群益馬拉松基金
48675778,86.31,62.26,38.76,46.11,38.62833279794411,122.67801857585141,87.1828236824984,73.55413670822716,群益奧斯卡基金
20080023,27.94,21.08,13.61,12.42,32.542694497153725,105.29022777369583,124.95974235104671,72.85036405089497,元大店頭基金
20092528,24.02,17.8,12.5,10.73,34.94382022471909,92.16,123.8583410997204,69.89157833230362,第一金店頭市場基金
00973762,67.15,48.22,35.28,31.49,39.257569473247635,90.3344671201814,113.24229914258498,69.37758470119525,華南永昌永昌基金
19339782,100.31,71.02,50.87,51.08,41.241903689101676,97.18891291527424,96.37823022709478,69.05327176455206,群益創新科技基金
18033138,107.79,98.19,50.11,45.74,9.776963030858553,115.10676511674318,135.65806733712287,66.5521245178768,台中銀數位時代基金A(累積型-新台幣)
48749899,71.85,57.96,35.29,35.17,23.96480331262938,103.59875318787192,104.29343190218935,63.920713993114134,群益葛萊美基金
